text,label
非常满意，和预期的效果一样，很喜欢，京东超市很给力，快递次日达更是无可挑剔！,2
老爸很喜欢！,2
买来送给友的他欢，他不喜欢，还小礼品增送真好。,2
帮同事买的，说用着还不错，能待机三四天。,2
与第一代区别最大就是&hllip;'快'，现在可以用两三天（当动了就不行，其实初代刚用的时候也可以用两天&elip;两年左右就本每天充了）期待蜂窝数据开通,1
年会奖品，还稍微没开封，看着不错,2
常好用，合预期，满分10分可以打9分了。不开电话待机两天无力。速度也很快。,1
双十一都能当天到达 给个赞，包装很好，比iPhone包装好多了,2
这表戴在手上十分有派，我十分喜欢！,2
样子满分，功能还可以，一般使用能用三天,1
预约了自动下单，第二天就到货了，一直想要一块智能手表，蜂窝功能在国内虽然用不成，但是总会有的，于是决定一步到位了。苹果手表确实能帮你改变生活中的很多细微的习惯，现在每天早上被腕上闹钟叫醒，完成活动目标，及时查看各种通知。的确是非常令人满意的商品，就等虚拟卡在国内能用了。另外新品白条免息确实太给力了，绝对好过双11的折扣。五颗星～,2
很适合，超级棒，京东送货也很快半天就到了。还给补了差价很棒棒,0
东西很好，不是第一次买了，很喜欢，以后继，公个人用都很,2
不错，挺好用！坐等移动网络开通！！！！！！！！！,2
抬腕展示很灵敏，充电时间很理想，记步也不错，总体很满意，小组件挺多,2
不错哦，运动起来带着方便有点,2
很好看，带上去很有面子。感觉是真皮的，大品牌,2
感觉用着蛮不错的 很流畅 比较方便 就是有点厚稍微,2
手表不错，而且盒子可以当充电坐，不错不错,2
手表带了一个月了，感觉不错。待机两天没问题。,2
试用了，很好玩，虽然不是专业的户外手表，但是足够自己用了。,2
确实是款很给力的智能手表，外观，续航都很棒。不过为什么JD没有跟三星官网一样的好评返现活动比较遗憾。,2
还是不错相当的,2
还可以，就是电池不耐用，充满电一天就剩下15%了,1
还不错 是刚开始配对比较麻烦。京东 油。一年给你十几万,2
#网易财经#【好消息！iPhone可以刷北京的地铁公交了】 一句话，iPhone 6及以上的手机均可，以及AppleWatchSeries1、2、3三代手表(包括运动款，不锈钢款以及 Nike+ 和 Hemes，Edition款)上使用公交地铁卡功能。在北京地区，用户可以为iPhone钱包应用中增加一卡通，实现北京地铁和公交的NFC支付。在上海地区，用户则可以实现公交、地铁、磁悬浮列车以及渡轮的NFC支付。http://t.cn/RnnDsSD@网易新闻客户端#网易新闻#,1
等了几天才有货，不错速度挺快的,2
很棒很不错，值得购买。,2
挺不错的，很喜欢,2
不错，虽然贵了点，但是的确方便好用。还能接电话，赞，满意。越南产的,2
